combo,run_label,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,official_cd_value,max_conc,same_bar_trades,active_leftover,blocked_by_cap,cap_removed,ruined,leverage,position_fraction,effective_notional_fraction,fee_per_side,split_n,rank_metric,rank_by_final_return
short_max_v12_L3_SPLIT125,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,18.422950484653946,18.49972784542535,4.106098059293686,113.63401282009605,25,62,0,0,True,False,3.0,0.008,0.024,0.0004,125,18.422950484653946,85
short_max_v12_L12_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,18.422950484653946,18.49972784542535,4.106098059293686,113.63401282009605,25,62,0,0,True,False,12.0,0.002,0.024,0.0004,500,18.422950484653946,86
short_max_v12_L7_SPLIT300,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,17.875299865305028,17.94959834128904,3.9942824894739744,113.23835818833805,25,62,0,0,True,False,7.0,0.0033333333333333335,0.023333333333333334,0.0004,300,17.875299865305028,87
short_max_v12_L15_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,16.322292681645045,16.389624454969365,3.674111560377085,112.11333980778986,25,62,0,0,True,False,15.0,0.0014285714285714286,0.02142857142857143,0.0004,700,16.322292681645045,88
short_max_v12_L1_SPLIT50,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,1.0,0.02,0.02,0.0004,50,15.1688460065462,89
short_max_v12_L2_SPLIT100,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,2.0,0.01,0.02,0.0004,100,15.1688460065462,90
short_max_v12_L3_SPLIT150,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,3.0,0.006666666666666667,0.02,0.0004,150,15.1688460065462,91
short_max_v12_L5_SPLIT250,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,5.0,0.004,0.02,0.0004,250,15.1688460065462,92
short_max_v12_L10_SPLIT500,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,10.0,0.002,0.02,0.0004,500,15.1688460065462,93
short_max_v12_L20_SPLIT1000,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,15.1688460065462,15.231064081433354,3.433303384536316,111.2748320582883,25,62,0,0,True,False,20.0,0.001,0.02,0.0004,1000,15.1688460065462,94
short_max_v12_L15_SPLIT800,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,14.167471573552115,14.225292418280722,3.2221169159368226,110.544819948993,25,62,0,0,True,False,15.0,0.00125,0.01875,0.0004,800,14.167471573552115,95
short_max_v12_L7_SPLIT400,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,13.173414716111553,13.226909626519468,3.010482121071931,109.81823375597082,25,62,0,0,True,False,7.0,0.0025,0.0175,0.0004,400,13.173414716111553,96
short_max_v12_L12_SPLIT700,SHORT_MAX_V12_2026_ONLY_LEVERAGE_SPLIT_SWEEP_V1,874,136,738,15.560640732265446,12.890736166695604,12.943008083617947,2.949932561945289,109.6112655117188,25,62,0,0,True,False,12.0,0.0014285714285714286,0.017142857142857144,0.0004,700,12.890736166695604,97
