symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
ONE,short,short_max_v7_devw120,192683,192684,192884,1673888400,1673948400,0.01929,0.01753,0.09959931545921288,0.09959931545921288,2.4925530448196556,False,fail_fast_or_timeout,11533,142.02921287262137,0.01,0.0004
BLZ,short,short_max_v7_devw120,245150,245151,245351,1673903700,1673963700,0.07116,0.06422,0.10726602304578017,0.10726602304578017,4.498910368001838,False,fail_fast_or_timeout,11536,142.18101174735267,0.01,0.0004
GALA,short,short_max_v7_devw120,139980,139981,139998,1673962500,1673967600,0.04906,0.04909542212065804,-0.001521495388531057,-0.001521495388531057,3.3061085420243104,False,stop,11540,142.17885077942844,0.01,0.0004
ENS,short,short_max_v7_devw120,118832,118833,119033,1673925300,1673985300,15.192,14.729,0.030634584832643166,0.030634584832643166,2.4186357279274153,False,fail_fast_or_timeout,11537,142.22227523362847,0.01,0.0004
FET,short,short_max_v7_devw120,94,95,103,1673983500,1673985900,0.2704,0.2708355976185113,-0.002408346991095577,-0.002408346991095577,2.889652974953122,False,stop,11541,142.21885107355374,0.01,0.0004
HOT,short,short_max_v7_devw120,189556,189557,189572,1673987100,1673991600,0.00204,0.002041545506411923,-0.0015570276572669287,-0.0015570276572669287,3.209558294433246,False,stop,11542,142.21663668670868,0.01,0.0004
AAVE,short,short_max_v7_devw120,237114,237115,237118,1673998500,1673999400,89.0,90.97879529706442,-0.022550071438110917,-0.022550071438110917,2.521386911208673,False,stop,11543,142.18456673353896,0.01,0.0004
1000SHIB,short,short_max_v7_devw120,177788,177789,177790,1674037200,1674037500,0.011544,0.01184320476834177,-0.026063834763845193,-0.026063834763845193,2.7851198514917495,False,stop,11545,142.14750798300585,0.01,0.0004
1000SHIB,short,short_max_v7_devw120,177791,177792,177797,1674038100,1674039600,0.011751,0.01209185228718909,-0.028988591713960375,-0.028988591713960375,2.8003195971440062,False,stop,11546,142.1063014222851,0.01,0.0004
1000SHIB,short,short_max_v7_devw120,177798,177799,177805,1674040200,1674042000,0.012262,0.01261655580581738,-0.028902424407610237,-0.028902424407610237,3.2200551660031107,False,stop,11547,142.06522925593808,0.01,0.0004
1000SHIB,short,short_max_v7_devw120,177807,177808,177820,1674042900,1674046500,0.012613,0.012630246822406516,-0.002165517447839526,-0.002165517447839526,2.5558402312154573,False,stop,11548,142.06215280861122,0.01,0.0004
DAR,short,short_max_v7_devw120,75928,75929,76129,1674014100,1674074100,0.1671,0.1549,0.07796049063912194,0.07796049063912194,3.0422053770347737,False,fail_fast_or_timeout,11544,142.1730005944498,0.01,0.0004
ENJ,short,short_max_v7_devw120,242270,242271,242280,1674076500,1674079200,0.4093,0.40982046021430907,-0.002069971279708404,-0.002069971279708404,3.4701470025715087,False,stop,11549,142.17005765417,0.01,0.0004
APT,short,short_max_v7_devw120,26388,26389,26397,1674093900,1674096300,7.7947,7.810224795623803,-0.0027877527254403837,-0.0027877527254403837,2.4699767674699555,False,stop,11551,142.16609430451297,0.01,0.0004
KAVA,short,short_max_v7_devw120,260479,260480,260481,1674096300,1674096600,0.9967,1.0330603528804736,-0.0359967363562935,-0.0359967363562935,2.691683288796626,False,stop,11552,142.11491915035813,0.01,0.0004
HBAR,short,short_max_v7_devw120,193624,193625,193736,1674084300,1674117600,0.05931,0.05400939845280126,0.09734220670928098,0.09734220670928098,3.6976013689656937,False,target,11550,142.25331062175857,0.01,0.0004
KAVA,short,short_max_v7_devw120,260483,260484,260623,1674097500,1674139200,1.0618,1.0640649827485544,-0.002928613181784922,-0.002928613181784922,3.290944684163926,False,stop,11553,142.24914862550304,0.01,0.0004
ENJ,short,short_max_v7_devw120,242497,242498,242499,1674144600,1674144900,0.3869,0.3930267811099552,-0.016388711518976893,-0.016388711518976893,3.484535736981812,False,stop,11554,142.2258358228966,0.01,0.0004
ENJ,short,short_max_v7_devw120,242500,242501,242502,1674145500,1674145800,0.4047,0.41401312066274476,-0.02329474762499426,-0.02329474762499426,4.58485987296,False,stop,11555,142.19270467338413,0.01,0.0004
ENJ,short,short_max_v7_devw120,242504,242505,242509,1674146700,1674147900,0.4211,0.4341114017921869,-0.03077249493671572,-0.03077249493671572,5.125098163402462,False,stop,11556,142.14894843053813,0.01,0.0004
ENJ,short,short_max_v7_devw120,242511,242512,242529,1674148800,1674153900,0.4295,0.4302062787438599,-0.0024417211434527345,-0.0024417211434527345,3.1116361264584174,False,stop,11557,142.1454775496091,0.01,0.0004
1000LUNC,short,short_max_v7_devw120,38034,38035,38036,1674171300,1674171600,0.1704,0.17368310079239865,-0.01970282230925222,-0.01970282230925222,3.414412850654557,False,stop,11559,142.11747087874687,0.01,0.0004
BAT,short,short_max_v7_devw120,308451,308452,308652,1674149100,1674209100,0.2443,0.2386,0.023089354568315203,0.023089354568315203,2.7146566092053113,False,fail_fast_or_timeout,11558,142.15029215346513,0.01,0.0004
SNX,short,short_max_v7_devw120,255904,255905,256017,1674192300,1674225900,2.356,2.3581353442013726,-0.0017055223257746769,-0.0017055223257746769,3.3324484678724877,False,stop,11560,142.14786830827046,0.01,0.0004
APT,short,short_max_v7_devw120,26959,26960,26961,1674265200,1674265500,8.8068,9.00775798388305,-0.023109434183579112,-0.023109434183579112,2.8730578533512015,False,stop,11561,142.1150187402004,0.01,0.0004
