symbol,file,bars,kept_event_horizon_rows,first_ts,last_ts
BR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BR_5m.csv,83615,31720,2025-03-21 21:45:00,2026-01-12 07:10:00
BRETT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BRETT_5m.csv,145003,61104,2024-08-20 19:35:00,2026-01-12 07:55:00
BROCCOLI714,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLI714_5m.csv,83660,32640,2025-03-21 18:00:00,2026-01-12 07:10:00
BROCCOLIF3B,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BROCCOLIF3B_5m.csv,83657,30788,2025-03-21 18:15:00,2026-01-12 07:10:00
BSV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSV_5m.csv,232846,105580,2023-10-20 21:30:00,2026-01-12 08:55:00
BSW,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BSW_5m.csv,140448,45812,2024-09-05 15:00:00,2026-01-12 07:50:00
BTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTC_5m.csv,667450,291488,2019-09-09 02:55:00,2026-01-12 15:40:00
BTCDOM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTCDOM_5m.csv,479797,200212,2021-06-21 12:30:00,2026-01-12 11:30:00
BTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BTR_5m.csv,37843,16460,2025-08-27 19:30:00,2026-01-12 06:45:00
BULLA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\BULLA_5m.csv,53414,21836,2025-07-04 18:00:00,2026-01-12 06:50:00
C98,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C98_5m.csv,461364,178356,2021-08-24 12:30:00,2026-01-12 11:25:00
C,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\C_5m.csv,50246,21184,2025-07-15 18:00:00,2026-01-12 06:50:00
CAKE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CAKE_5m.csv,229097,93672,2023-11-02 21:45:00,2026-01-12 08:50:00
CARV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CARV_5m.csv,43528,16976,2025-08-08 01:45:00,2026-01-12 06:45:00
CATI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CATI_5m.csv,136060,53416,2024-09-20 20:30:00,2026-01-12 07:45:00
CC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CC_5m.csv,15649,6920,2025-11-18 22:35:00,2026-01-12 06:35:00
CELO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELO_5m.csv,451569,132556,2021-09-27 12:30:00,2026-01-12 11:10:00
CELR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CELR_5m.csv,503952,204588,2021-03-29 16:00:00,2026-01-12 11:55:00
CETUS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CETUS_5m.csv,122490,49116,2024-11-06 23:00:00,2026-01-12 07:35:00
CFX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CFX_5m.csv,304256,117944,2023-02-20 23:30:00,2026-01-12 10:05:00
CGPT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CGPT_5m.csv,109749,45200,2024-12-21 04:15:00,2026-01-12 07:20:00
CHESS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHESS_5m.csv,142446,57348,2024-08-29 16:30:00,2026-01-12 07:50:00
CHILLGUY,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHILLGUY_5m.csv,116430,45152,2024-11-27 23:45:00,2026-01-12 07:30:00
CHR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHR_5m.csv,508852,208472,2021-03-12 16:00:00,2026-01-12 12:15:00
CHZ,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CHZ_5m.csv,523256,222272,2021-01-21 16:00:00,2026-01-12 12:35:00
CKB,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CKB_5m.csv,301981,132528,2023-02-28 21:00:00,2026-01-12 10:00:00
CLANKER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLANKER_5m.csv,15649,6884,2025-11-18 22:35:00,2026-01-12 06:35:00
CLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\CLO_5m.csv,24005,10680,2025-10-14 20:30:00,2026-01-12 06:35:00
COAI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\COAI_5m.csv,29526,11140,2025-09-25 16:30:00,2026-01-12 06:40:00
