symbol,side,strategy,signal_i,entry_i,exit_i,entry_ts,exit_ts,entry_price,exit_price,pnl_decimal,return,score,same_bar,exit_reason,id,equity_after_exit,position_fraction,fee_per_side
BULLA,short,short_max_v7_devw120,638,639,647,1767417300,1767419700,0.06219,0.06230323372547203,-0.0026174614494484986,-0.0026174614494484986,4.4695816168980675,False,stop,164,102.36858337958579,0.01,0.0004
IRYS,short,short_max_v7_devw120,612,613,648,1767409500,1767420000,0.029041,0.029086957469037247,-0.002380002620974241,-0.002380002620974241,2.9261346428400055,False,stop,157,102.36614478599945,0.01,0.0004
4,short,short_max_v7_devw120,640,641,652,1767417900,1767421200,0.026,0.02604193931136408,-0.0024104526956554065,-0.0024104526956554065,2.560808054095353,False,stop,166,102.36367708151714,0.01,0.0004
AERO,short,short_max_v7_devw120,657,658,660,1767423000,1767423600,0.564,0.5748276080880952,-0.019636270102106643,-0.019636270102106643,2.4829943175445695,False,stop,172,102.34357667339897,0.01,0.0004
NEIRO,short,short_max_v7_devw120,549,550,661,1767390600,1767423900,0.0001323,0.00013246313357961483,-0.0020315394873003704,-0.0020315394873003704,2.698950571414966,False,stop,143,102.34149078319831,0.01,0.0004
VELODROME,short,short_max_v7_devw120,660,661,662,1767423900,1767424200,0.02229,0.022787813839891424,-0.022645616406606315,-0.022645616406606315,3.039942583507019,False,stop,173,102.31831492177075,0.01,0.0004
CHZ,short,short_max_v7_devw120,462,463,663,1767364500,1767424500,0.04599,0.04384,0.04824197080291994,0.04824197080291994,2.53371349655458,False,fail_fast_or_timeout,126,102.36761044431464,0.01,0.0004
ZORA,short,short_max_v7_devw120,630,631,663,1767414900,1767424500,0.04146,0.04150207903195695,-0.0018139017836805485,-0.0018139017836805485,3.092362118295029,False,stop,161,102.36575288899851,0.01,0.0004
ESPORTS,short,short_max_v7_devw120,662,663,664,1767424500,1767424800,0.44483,0.4541158005129154,-0.021248089457418715,-0.021248089457418715,2.8332718653167563,False,stop,175,102.3440021222509,0.01,0.0004
BULLA,short,short_max_v7_devw120,648,649,666,1767420300,1767425400,0.06243,0.06259509355062817,-0.003437483886730574,-0.003437483886730574,2.7092957153967947,False,stop,169,102.34048330251841,0.01,0.0004
AERO,short,short_max_v7_devw120,661,662,668,1767424200,1767426000,0.5749,0.587071891851158,-0.021533221978619375,-0.021533221978619375,3.046301634266843,False,stop,174,102.31845087264152,0.01,0.0004
STABLE,short,short_max_v7_devw120,639,640,674,1767417600,1767427800,0.016895,0.016921853222651672,-0.0023868960862824854,-0.0023868960862824854,2.5332300660025306,False,stop,165,102.3160072842726,0.01,0.0004
MON,short,short_max_v7_devw120,475,476,676,1767368400,1767428400,0.02819,0.02761,0.02020688156465047,0.02020688156465047,3.939151568052095,False,fail_fast_or_timeout,129,102.33667979601766,0.01,0.0004
RIVER,short,short_max_v7_devw120,617,618,689,1767411000,1767432300,17.428,17.46725114552404,-0.0030471277934361655,-0.0030471277934361655,2.8145162311210585,False,stop,158,102.33355775397897,0.01,0.0004
CHESS,short,short_max_v7_devw120,689,690,690,1767432600,1767432600,0.03671,0.038411469603051626,-0.04509587361886445,-0.04509587361886445,4.587797307880574,True,stop,177,102.28740954210454,0.01,0.0004
STABLE,short,short_max_v7_devw120,689,690,693,1767432600,1767433500,0.018315,0.018797123073601117,-0.026448769320354868,-0.026448769320354868,2.8551593307716194,False,stop,178,102.23193708818431,0.01,0.0004
FLUID,short,short_max_v7_devw120,691,692,693,1767433200,1767433500,3.136,3.2229263364177596,-0.02777124518035898,-0.02777124518035898,2.597013253539775,False,stop,180,102.25900305481197,0.01,0.0004
FLUID,short,short_max_v7_devw120,695,696,706,1767434400,1767437400,3.233,3.23779982253739,-0.0022824333808346467,-0.0022824333808346467,2.6250124555444696,False,stop,183,102.22960371232634,0.01,0.0004
B,short,short_max_v7_devw120,724,725,725,1767443100,1767443100,0.1905,0.2033782963472503,-0.06412188133418992,-0.06412188133418992,4.73143601245623,True,stop,185,102.16405216714551,0.01,0.0004
