batch_label,strategy_name,side,description,timeframe,processed_symbols,trades,wins,losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,baseline_cd_value,ruined,verdict
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V038_shocklow_softscore,long,l09 v09 cluster pressure + shocklow + softscore,5m,597,540,144,396,26.666666666666668,-0.9318416308367494,0.40164002133757926,2.15933031347727,96.92894959449424,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V008_core_softscore,long,l09 v09 cluster pressure + core + softscore,5m,597,581,160,421,27.538726333907054,-1.0089141046641936,0.3381362888243755,2.099863501764654,96.91240821261914,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V013_strict_rare28_first,long,l09 v51 microbase pop + strict + rare28_first,5m,597,476,151,325,31.72268907563025,-0.902968300291429,1.2798224129224378,2.2666901834940023,96.85080901003734,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V033_shocklow_rare28_first,long,l09 v51 microbase pop + shocklow + rare28_first,5m,597,476,142,334,29.831932773109244,-0.8764963509673818,1.3414425912247507,2.2963117187269955,96.8473190187271,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V003_core_rare28_first,long,l09 v51 microbase pop + core + rare28_first,5m,597,476,146,330,30.672268907563026,-0.927919233687724,1.2724538599408142,2.2804749440112904,96.8127667879259,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V51_V093_quality_hold_rare28_first,long,l09 v51 microbase pop + quality_hold + rare28_first,5m,597,467,135,332,28.90792291220557,-1.2104406086216102,0.9357013473094922,2.2340466191253516,96.58255457974647,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V042_prevhigh_rare22_c1,long,l09 v27 failed break pivot + prevhigh + rare22_c1,5m,597,630,168,462,26.666666666666668,-0.7354580588481152,0.25123594104592417,2.763217244576599,96.52164700048401,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V27_V041_prevhigh_base,long,l09 v27 failed break pivot + prevhigh + base,5m,597,632,170,462,26.89873417721519,-0.7814109227688992,0.2298350110026437,2.7332329250431497,96.50671393280895,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V28_V083_hammer_outside_rare28_first,long,l09 v28 refire block + hammer_outside + rare28_first,5m,597,757,228,529,30.11889035667107,-1.5917309875102648,0.7758639995310901,2.4761166117532207,95.97156551613267,121.53,False,baseline_fail
RESTORE_EXACT_8V4_LONG400_FULL_FEE008_V1,8V4_V09_V083_hammer_outside_rare28_first,long,l09 v09 cluster pressure + hammer_outside + rare28_first,5m,597,786,227,559,28.880407124681934,-2.0593688810054633,0.708469668790146,2.925171785059233,95.07569941139276,121.53,False,baseline_fail
