strategy_name,axis,parent_alias,parent_strategy,family,group,side,description,total_trades,total_wins,total_losses,win_rate_pct,final_return_pct,max_return_pct,max_drawdown_pct,cd_value,old_ratio_cd_value,mdd_under_5,beats_axis_reference,reference_alias,reference_strategy,reference_cd_value,reference_max_return_pct,reference_max_drawdown_pct
long_max_v1_077_lx13_asym_runner_guard_01,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_01,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,14206,1748,12458,12.30466,-35.660151,0.0,35.904125,64.095875,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_091_lx13_asym_runner_guard_15,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_15,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,14542,1250,13292,8.595792,-35.712131,0.0,35.943914,64.056086,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_067_lx13_second_leg_soft_16,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_16,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,15410,2012,13398,13.056457,-35.225033,0.122352,36.083485,63.994718,0.003391,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_054_lx13_second_leg_soft_03,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_03,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,14014,2455,11559,17.518196,-35.142544,0.179344,36.150545,63.963965,0.004961,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_058_lx13_second_leg_soft_07,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_07,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,15211,2272,12939,14.936559,-35.508614,0.256746,36.576452,63.586385,0.007019,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_023_lx13_microbase_pop_rebuilt_22,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_microbase_pop_rebuilt_22,long,V51 raw edge를 직접 복제하지 않고 microbase 누적 후 팝업을 score 구조로 재구성한다.,18581,2791,15790,15.02072,-36.14519,0.358879,36.709322,63.517815,0.009776,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_086_lx13_asym_runner_guard_10,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_asym_runner_guard_10,long,long_max의 raw 수익 확장력을 보존하기 위해 손실은 빠르게 자르고 이익은 비대칭으로 길게 보유한다.,15250,1431,13819,9.383607,-36.515723,0.0,36.743515,63.256485,0.0,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_053_lx13_second_leg_soft_02,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_02,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,15434,2466,12968,15.977712,-36.088746,0.254975,37.122032,63.038292,0.006869,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_057_lx13_second_leg_soft_06,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_06,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,16359,2392,13967,14.621921,-36.208969,0.186895,37.165819,62.951615,0.005029,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
long_max_v1_066_lx13_second_leg_soft_15,long_max,long_max_v1,8V4_V51_V002_core_rare22_c1,8V13_LONG_MAX_DIFFERENT_FLOW,lx13_second_leg_soft_15,long,8V12 second-leg absorption을 hard entry가 아니라 soft second-leg 재가속 구조로 재해석한다.,17150,2060,15090,12.011662,-36.699633,0.035569,37.249357,62.772962,0.000955,False,False,long_max_v1,8V4_V51_V002_core_rare22_c1,134.515867,44.2664,6.7587
