symbol,file,accepted_nonoverlap_trades
FLUID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLUID_5m.csv,2082
FLUX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FLUX_5m.csv,8088
FOLKS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FOLKS_5m.csv,852
FORM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FORM_5m.csv,5674
FORTH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FORTH_5m.csv,4512
FTM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FTM_5m.csv,28131
FTT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FTT_5m.csv,6219
FUN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FUN_5m.csv,4953
FXS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\FXS_5m.csv,20139
G,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\G_5m.csv,11163
GALA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GALA_5m.csv,24312
GAS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GAS_5m.csv,16290
GHST,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GHST_5m.csv,8606
GIGGLE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GIGGLE_5m.csv,1386
GLM,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GLM_5m.csv,13404
GLMR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GLMR_5m.csv,3927
GMT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GMT_5m.csv,23772
GMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GMX_5m.csv,20646
GOAT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GOAT_5m.csv,5772
GPS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GPS_5m.csv,5238
GRASS,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GRASS_5m.csv,6715
GRIFFAIN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GRIFFAIN_5m.csv,5688
GRT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GRT_5m.csv,33549
GTC,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GTC_5m.csv,28989
GUN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\GUN_5m.csv,4494
H,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\H_5m.csv,3054
HAEDAL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HAEDAL_5m.csv,4485
HANA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HANA_5m.csv,1770
HBAR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HBAR_5m.csv,33437
HEI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HEI_5m.csv,6618
HEMI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HEMI_5m.csv,1782
HFT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HFT_5m.csv,16827
HIFI,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIFI_5m.csv,14287
HIGH,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIGH_5m.csv,16490
HIPPO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIPPO_5m.csv,6348
HIVE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HIVE_5m.csv,8361
HMSTR,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HMSTR_5m.csv,6534
HOLO,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOLO_5m.csv,2256
HOME,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOME_5m.csv,4128
HOOK,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOOK_5m.csv,16878
HOT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HOT_5m.csv,31374
HUMA,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HUMA_5m.csv,3750
HYPE,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HYPE_5m.csv,3258
HYPER,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\HYPER_5m.csv,4452
ICNT,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICNT_5m.csv,4294
ICP,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICP_5m.csv,18624
ICX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ICX_5m.csv,41402
ID,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ID_5m.csv,16753
IDEX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IDEX_5m.csv,7923
IDOL,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IDOL_5m.csv,4548
ILV,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\ILV_5m.csv,14310
IMX,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IMX_5m.csv,25555
IN,C:\Users\user\Desktop\LCD\파이썬\코인\Data\time\IN_5m.csv,2670
