symbol,timeout,trades,win_rate_pct,avg_net_ret_pct,med_net_ret_pct,avg_mae_pct,p95_mae_pct,max_mae_pct,avg_mfe_pct,p95_mfe_pct
IOST_5m,288,3,100.0,4.550700275433271,5.732381724790505,2.222544791671314,4.531707903662223,4.873418706334509,10.731926947767567,15.648695683262291
EGLD_5m,288,4,100.0,4.541415512482452,3.1442570484210974,3.2977103998075465,4.658810175893154,4.749380405644632,6.837583072807929,13.071806830106288
GRT_5m,288,2,50.0,4.530217064044808,4.530217064044808,8.78812443280812,13.870732233787965,14.435466433896838,14.728870794009275,23.63189259042299
COTI_5m,288,1,100.0,4.516296644421471,4.516296644421471,2.453271028037385,2.453271028037385,2.453271028037385,14.191893278604418,14.191893278604418
CFX_5m,288,1,100.0,4.484943253467835,4.484943253467835,3.955619874577909,3.955619874577909,3.955619874577909,6.580976863753207,6.580976863753207
LEVER_5m,288,3,66.66666666666666,4.476070334967166,5.056612021857911,0.9262579351638545,1.4306487675693247,1.453957996768973,7.952306320341029,11.604513934958558
ATA_5m,288,3,66.66666666666666,4.283758281290024,1.3334275618374436,4.193843439877669,5.956416851773245,6.236624885356146,8.82173445953777,18.73072356949067
PROM_5m,288,1,100.0,4.281012340514536,4.281012340514536,1.8939773524401238,1.8939773524401238,1.8939773524401238,5.230412316777366,5.230412316777366
MYX_5m,288,3,33.33333333333333,4.108615832560385,-3.913457565754439,29.069837707362236,53.48103811304008,57.67472371530125,13.734986695229436,33.95935504275361
SKL_5m,288,1,100.0,4.046855051839806,4.046855051839806,4.412338930105419,4.412338930105419,4.412338930105419,5.935884177869699,5.935884177869699
ANKR_5m,288,1,100.0,3.767279110590973,3.767279110590973,0.09860543738555716,0.09860543738555716,0.09860543738555716,7.122378149992459,7.122378149992459
1000PEPE_5m,288,2,50.0,3.730278859567984,3.730278859567984,3.9913635814252,5.351556713955505,5.50268928423665,12.61185317806941,13.069297642299926
ZEN_5m,288,3,66.66666666666666,3.6806804817452714,4.3003667974133375,3.8999503041158583,9.173812581951358,10.018368284096123,6.831315892971161,11.819179642244547
BB_5m,288,1,100.0,3.676763194609869,3.676763194609869,2.6565215965366873,2.6565215965366873,2.6565215965366873,4.90624462411835,4.90624462411835
LDO_5m,288,1,100.0,3.5855341638354155,3.5855341638354155,2.683806125050059,2.683806125050059,2.683806125050059,7.660642176657406,7.660642176657406
H_5m,288,1,100.0,3.3942921013412697,3.3942921013412697,8.812674408137555,8.812674408137555,8.812674408137555,8.751835535976493,8.751835535976493
QTUM_5m,288,3,66.66666666666666,3.3761171702242123,6.850960086299876,2.3897847695345455,5.457221340518543,5.968301139177812,8.28069371551133,13.450569147559383
SKATE_5m,288,1,100.0,3.3225096525096554,3.3225096525096554,2.9404900816802915,2.9404900816802915,2.9404900816802915,11.010362694300513,11.010362694300513
TRU_5m,288,3,66.66666666666666,3.3163985994362535,4.46887689797967,5.754870710359064,7.234333097003249,7.4146773887165285,8.225085004490907,9.414293844058772
COMBO_5m,288,1,100.0,3.2837477870080534,3.2837477870080534,0.685111989459819,0.685111989459819,0.685111989459819,4.9792531120331995,4.9792531120331995
COMP_5m,288,2,100.0,3.250706540491557,3.250706540491557,2.691237073681252,4.51207500725828,4.714390333211282,4.98534448547967,5.155193662856494
KAVA_5m,288,1,100.0,3.243984626571108,3.243984626571108,2.221775409671256,2.221775409671256,2.221775409671256,4.529213955443456,4.529213955443456
MERL_5m,288,1,100.0,3.1034472788603518,3.1034472788603518,10.332749562171628,10.332749562171628,10.332749562171628,6.778868630201029,6.778868630201029
POPCAT_5m,288,1,100.0,2.890922882427285,2.890922882427285,0.7366482504604033,0.7366482504604033,0.7366482504604033,6.749672346002611,6.749672346002611
DENT_5m,288,5,40.0,2.6852323507623526,-0.22858841010401135,2.646194594200235,3.8028216568556017,3.9668808699950597,6.641345901509292,12.803395147153811
IOTX_5m,288,2,50.0,2.598232417833154,2.598232417833154,5.147262767552752,5.733231614833569,5.798339264531438,7.157768890685201,11.035764195357201
TRUMP_5m,288,3,66.66666666666666,2.5820959158574914,3.529271523178803,1.5608450022160343,2.2685993492908563,2.286299266336811,5.2238176567790475,9.03071847647182
WAVES_5m,288,2,50.0,2.5546026244119915,2.5546026244119915,1.8319224539146473,3.286100133254951,3.4476754309594293,5.001888486659622,6.758208616309474
QNT_5m,288,1,100.0,2.517952700317685,2.517952700317685,1.1353471409894622,1.1353471409894622,1.1353471409894622,7.651851851851865,7.651851851851865
FIL_5m,288,2,100.0,2.4999553639274885,2.4999553639274885,4.702667965938845,4.9018777388431465,4.924012158054736,3.799304780752577,4.679293535400108
FARTCOIN_5m,288,2,50.0,2.4739617975679664,2.4739617975679664,4.101557694566571,5.325125829336899,5.461077844311379,5.005907492734463,6.77268913513049
BAKE_5m,288,3,100.0,2.331020217173506,1.0624219345011365,3.8978804713370336,5.501952068868554,5.782828282828278,5.960282829285771,9.055414510220778
BOME_5m,288,1,100.0,2.27769951662228,2.27769951662228,0.5782575173477245,0.5782575173477245,0.5782575173477245,12.257924916152763,12.257924916152763
NEAR_5m,288,3,66.66666666666666,2.204800432006921,3.685690376569042,2.4148350698872076,3.6080941695470403,3.710575139146566,5.576361662439459,10.457639943748182
HANA_5m,288,1,100.0,2.1544178753429977,2.1544178753429977,1.6871165644171793,1.6871165644171793,1.6871165644171793,7.2368421052631415,7.2368421052631415
OM_5m,288,2,100.0,2.1402878242539525,2.1402878242539525,1.984156321204622,2.2649614238741997,2.2961619908374864,3.678700439095539,4.198983592054598
LOOM_5m,288,1,100.0,2.138114602587806,2.138114602587806,0.9041591320072317,0.9041591320072317,0.9041591320072317,9.722222222222232,9.722222222222232
ACH_5m,288,1,100.0,1.8380754226268083,1.8380754226268083,5.3907496012759015,5.3907496012759015,5.3907496012759015,8.55263157894739,8.55263157894739
FORM_5m,288,1,100.0,1.786433362496367,1.786433362496367,1.545949040939032,1.545949040939032,1.545949040939032,2.3439789041898695,2.3439789041898695
AMB_5m,288,1,100.0,1.7110447761193994,1.7110447761193994,7.4291300097751645,7.4291300097751645,7.4291300097751645,1.7910447761193993,1.7910447761193993
NMR_5m,288,3,66.66666666666666,1.661119345406276,2.781130495464059,4.773825343974791,4.836829867067176,4.843849585723392,3.730244440873746,4.331740048367663
HIGH_5m,288,3,100.0,1.6471471048781277,1.672967921192239,2.8161187702286927,3.525942628529495,3.5497964452388064,3.4697967900046236,4.532906913051861
SEI_5m,288,3,66.66666666666666,1.596433156520263,1.6852250661959414,3.6175330023642416,6.037522666308674,6.289162218612221,8.04224164339323,8.998649297906853
OMG_5m,288,4,75.0,1.562682144383356,4.227896726804483,4.836965303835639,11.736885907020689,13.077340027957662,6.632219575070075,10.630563149261894
ME_5m,288,2,100.0,1.4731487162736667,1.4731487162736667,3.9323844571220845,6.643944261635413,6.945228684359117,4.331496184791295,5.676651261741754
TNSR_5m,288,3,33.33333333333333,1.4303309103070563,-0.03180722891567893,5.0504355628041715,9.822227952214579,10.48362871733255,6.790320534437829,15.364648254170257
LQTY_5m,288,4,75.0,1.3889403905655568,1.6464977086405619,3.549490215646239,4.404173706314011,4.4498222046621905,3.325037619286353,5.420176112832611
CTSI_5m,288,3,66.66666666666666,1.3185092114009629,1.3495439074200055,2.2227699977767448,4.647196865365763,5.021598272138239,7.769754244039073,11.300385519595753
MANA_5m,288,3,33.33333333333333,1.1338792522140857,-0.09460920379838804,3.228604588697403,4.626447620217331,4.796982132388572,3.8555527640854312,7.919664662179405
TAO_5m,288,1,100.0,1.0978521101700967,1.0978521101700967,1.5650828262933958,1.5650828262933958,1.5650828262933958,2.876474419277808,2.876474419277808
UNI_5m,288,4,50.0,1.0653088647262854,-0.9602311485122116,5.332998105314574,10.85152545085618,11.836142831248853,11.639173742395275,35.921046731662166
IOTA_5m,288,3,33.33333333333333,1.0086009868994945,-0.584625735912534,5.694975480955566,11.272705491526104,12.036827835517405,4.315763376963452,10.275622948879379
1000LUNC_5m,288,2,50.0,0.9447480751875981,0.9447480751875981,2.3636116062586754,3.0794984155278313,3.1590413943355156,4.723145071982293,6.4025470653377745
DYDX_5m,288,2,50.0,0.942727272727264,0.942727272727264,4.147157190635453,5.183946488294318,5.2991452991453025,8.313433853399744,14.600374205986085
STORJ_5m,288,3,66.66666666666666,0.8968587365620658,0.07793629902605133,5.611803712792425,9.92678680572292,10.68226713265461,3.664303803688762,7.989935157955511
SQD_5m,288,4,50.0,0.888069849839534,1.9765803456932318,8.662227502522862,16.156582644882782,16.62531017369726,7.744061890884313,13.879365079365074
AXS_5m,288,3,66.66666666666666,0.7979953537374521,0.9744108177720667,4.924181580283271,9.80584388776538,10.473914774990046,2.869623342706358,4.508119181226875
BCH_5m,288,4,50.0,0.782203806181741,0.005259327080061688,1.832047829875466,4.292326191344272,4.85388453314326,3.4029252123409623,7.628470303313644
API3_5m,288,1,100.0,0.7559732488560256,0.7559732488560256,2.504581551618834,2.504581551618834,2.504581551618834,2.7298399748980184,2.7298399748980184
RPL_5m,288,1,100.0,0.7333180836192632,0.7333180836192632,0.4411950081936178,0.4411950081936178,0.4411950081936178,3.6451528612490236,3.6451528612490236
RAD_5m,288,1,100.0,0.7066216058734387,0.7066216058734387,6.619645025148868,6.619645025148868,6.619645025148868,3.3953015721202684,3.3953015721202684
AAVE_5m,288,3,33.33333333333333,0.6200238887306685,-0.6150045857536068,8.244364443625338,17.467833000472716,18.964737006996902,3.567429402552095,8.450881861177258
APT_5m,288,2,50.0,0.5983226227567606,0.5983226227567606,3.549245530337275,4.012852143545586,4.06436398945762,3.4251795397918783,6.5078411256045685
PEOPLE_5m,288,4,25.0,0.5617523217008807,-2.4308982918840294,6.077093595704825,9.727210216622208,10.219164118246681,11.877217103384085,21.525645628551924
TRB_5m,288,3,66.66666666666666,0.5463317613645812,1.2294748388865928,9.134880549824942,14.108914749617007,14.906746488602352,7.180335979524173,12.858597048662862
DF_5m,288,1,100.0,0.45956834532373764,0.45956834532373764,1.6925829090408628,1.6925829090408628,1.6925829090408628,2.9320113314447616,2.9320113314447616
AXL_5m,288,2,50.0,0.4088190265515512,0.4088190265515512,3.7124500623138545,5.082539422475038,5.234771573604058,2.828461902324353,3.210334924357796
RVN_5m,288,3,66.66666666666666,0.3914766382020991,1.490915619389579,6.318073677116217,12.269243772527656,13.077749910426363,8.017355479966293,9.968302850995158
SOL_5m,288,6,33.33333333333333,0.3347132637508415,-0.5337479470062945,3.4105956541686613,6.479746324137353,6.714005751953378,4.55889743100925,10.671284002520126
HUMA_5m,288,1,100.0,0.277500357500351,0.277500357500351,2.8555143915645287,2.8555143915645287,2.8555143915645287,1.0307497408729827,1.0307497408729827
